municipio,anio,semana_epidemiologica,temperatura_media,temperatura_min,temperatura_max,humedad_media,humedad_min,humedad_max,precipitacion_total_mm,dias_con_temperatura,dias_con_humedad,dias_con_precipitacion,cobertura_suficiente
GUAYARAMERIN,2026,3,27.91584561403509,22.14,34.81,85.63719298245614,55.0,100.0,8.600000000000001,5,5,5,True
GUAYARAMERIN,2026,4,26.407860096670248,22.83,33.94,93.899955245256,60.0,100.0,60.800000000000004,7,7,7,True
GUAYARAMERIN,2026,5,26.463809523809523,22.91,33.99,93.26785714285714,62.0,100.0,53.900000000000006,7,7,7,True
GUAYARAMERIN,2026,6,27.085942028985507,22.97,34.06,90.80486542443064,60.0,100.0,70.0,7,7,7,True
GUAYARAMERIN,2026,7,25.51136904761905,22.01,32.35,94.60714285714286,62.0,100.0,67.1,7,7,7,True
GUAYARAMERIN,2026,8,26.184940476190473,22.04,34.08,91.94642857142857,61.0,100.0,42.3,7,7,7,True
GUAYARAMERIN,2026,9,26.421011904761905,22.81,34.1,91.48214285714286,58.0,100.0,25.3,7,7,7,True
GUAYARAMERIN,2026,10,26.473877551020404,23.25,35.13,93.07738095238096,62.0,100.0,6.4,7,7,7,True
GUAYARAMERIN,2026,11,28.34527946127946,22.66,34.11,85.26035353535353,55.0,100.0,33.400000000000006,6,6,6,True
GUAYARAMERIN,2026,12,26.570535714285715,22.16,34.1,93.19642857142857,58.0,100.0,71.4,7,7,7,True
GUAYARAMERIN,2026,13,25.365389194139194,22.42,34.33,95.47023809523809,59.0,100.0,81.1,7,7,7,True
IXIAMAS,2026,3,26.265508771929824,21.96,31.59,83.73052631578948,61.0,99.0,23.000000000000004,5,5,5,True
IXIAMAS,2026,4,25.296024346580737,21.15,33.6,86.91411564625851,48.0,99.0,150.70000000000002,7,7,7,True
IXIAMAS,2026,5,24.84224120082816,20.13,32.3,90.75802277432713,62.0,99.0,136.60000000000002,7,7,7,True
IXIAMAS,2026,6,25.214063852813855,20.95,31.9,87.24837662337663,60.0,99.0,9.5,7,7,7,True
IXIAMAS,2026,7,25.22458333333333,21.62,32.78,88.80357142857143,59.0,99.0,78.60000000000001,7,7,7,True
IXIAMAS,2026,8,25.128214285714286,20.07,32.78,87.63690476190477,53.0,99.0,57.1,7,7,7,True
IXIAMAS,2026,9,23.862261904761905,19.89,31.13,92.59523809523809,61.0,99.0,215.0,7,7,7,True
IXIAMAS,2026,10,24.55225340136054,21.25,31.68,91.59523809523809,58.0,99.0,102.30000000000001,7,7,7,True
IXIAMAS,2026,11,24.920768097643094,21.08,30.8,88.93728956228956,63.0,99.0,12.799999999999999,6,6,6,True
IXIAMAS,2026,12,25.065714285714286,20.82,31.23,89.92857142857143,62.0,99.0,10.100000000000001,7,7,7,True
IXIAMAS,2026,13,23.56330128205128,20.44,31.33,94.42857142857143,64.0,99.0,78.2,7,7,7,True
PALOS BLANCOS,2026,3,27.55193713450292,22.3,38.1,86.93318713450293,51.0,100.0,37.2,4,4,4,False
PALOS BLANCOS,2026,4,26.164286967418548,20.52,39.15,89.4311802232855,42.0,100.0,37.9,7,7,7,True
PALOS BLANCOS,2026,5,26.235059523809525,22.12,36.32,91.09523809523809,46.0,100.0,43.3,7,7,7,True
PALOS BLANCOS,2026,6,26.863082298136646,20.77,37.28,89.6055900621118,51.0,100.0,16.1,7,7,7,True
PALOS BLANCOS,2026,7,26.087321428571432,20.46,38.32,90.19047619047619,46.0,100.0,31.200000000000003,7,7,7,True
PALOS BLANCOS,2026,8,25.996785714285714,20.54,36.98,90.40476190476191,43.0,100.0,27.1,7,7,7,True
PALOS BLANCOS,2026,9,23.96141666666667,19.45,33.98,95.33333333333333,61.0,100.0,87.30000000000001,5,5,5,True
PALOS BLANCOS,2026,10,25.760056547619048,21.41,33.54,92.68958333333333,64.0,100.0,0.30000000000000004,4,4,4,False
PALOS BLANCOS,2026,11,24.572954545454543,23.56,27.21,99.5,96.0,100.0,53.900000000000006,2,2,2,False
PALOS BLANCOS,2026,12,27.304395833333334,22.12,34.63,90.89166666666667,68.0,100.0,3.9,4,4,4,False
PALOS BLANCOS,2026,13,23.645,23.54,23.93,100.0,100.0,100.0,0.6000000000000001,1,1,1,False
SAN BUENAVENTURA,2026,3,27.735889724310777,23.41,32.98,88.031328320802,65.0,100.0,0.0,3,3,3,False
SAN BUENAVENTURA,2026,4,27.201252492025517,23.04,37.15,88.94128787878788,56.0,100.0,0.0,4,4,4,False
SAN BUENAVENTURA,2026,5,27.24256216006216,22.96,33.42,89.60732323232322,64.0,100.0,0.0,3,3,3,False
SAN BUENAVENTURA,2026,6,26.58935559006211,21.7,35.53,90.04425465838509,60.0,100.0,0.0,7,7,7,True
SAN BUENAVENTURA,2026,7,26.20842676767677,22.68,31.33,93.32272727272728,73.0,100.0,0.0,3,3,3,False
SAN BUENAVENTURA,2026,8,27.90674053030303,22.85,35.42,87.69204545454545,58.0,100.0,8.5,4,4,4,False
SAN BUENAVENTURA,2026,9,25.206833333333332,20.86,30.55,93.98958333333333,73.0,100.0,0.0,4,4,4,False
SAN BUENAVENTURA,2026,10,25.964976551226552,22.11,32.94,93.875,66.0,100.0,0.0,6,6,6,True
SAN BUENAVENTURA,2026,11,26.5945,23.76,31.75,92.5,74.0,100.0,0.0,4,4,4,False
SAN BUENAVENTURA,2026,12,27.038997474747475,22.9,33.47,91.11414141414143,66.0,100.0,0.0,6,6,6,True
SAN BUENAVENTURA,2026,13,24.904625,22.5,29.76,96.57083333333333,76.0,100.0,0.0,4,4,4,False
