municipio,anio,semana_epidemiologica,temperatura_media,humedad_media,precipitacion_total_mm,dias_en_semana,dias_temperatura_imputados,dias_humedad_imputados,dias_precipitacion_imputados,dias_faltantes,porcentaje_faltante,nivel_confianza
GUAYARAMERIN,2026,3,27.91584561403509,85.63719298245614,8.600000000000001,5,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,4,26.407860096670248,93.899955245256,60.800000000000004,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,5,26.463809523809523,93.26785714285714,53.900000000000006,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,6,27.085942028985507,90.80486542443064,70.0,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,7,25.51136904761905,94.60714285714285,67.1,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,8,26.184940476190473,91.94642857142857,42.3,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,9,26.421011904761905,91.48214285714286,25.3,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,10,26.473877551020404,93.07738095238096,6.4,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,11,28.409374458874456,84.99220779220778,46.00000000000001,7,1,1,1,0,0.0,confianza_normal
GUAYARAMERIN,2026,12,26.570535714285715,93.19642857142857,71.4,7,0,0,0,0,0.0,confianza_normal
GUAYARAMERIN,2026,13,25.365389194139194,95.47023809523809,81.1,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,3,26.265508771929824,83.73052631578948,23.000000000000004,5,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,4,25.296024346580737,86.91411564625851,150.70000000000002,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,5,24.84224120082816,90.75802277432713,136.60000000000002,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,6,25.214063852813855,87.24837662337663,9.5,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,7,25.224583333333335,88.80357142857143,78.60000000000001,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,8,25.128214285714286,87.63690476190477,57.1,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,9,23.862261904761905,92.5952380952381,215.0,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,10,24.55225340136054,91.59523809523809,102.30000000000001,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,11,25.042483766233765,88.46212121212122,18.45,7,1,1,1,0,0.0,confianza_normal
IXIAMAS,2026,12,25.065714285714286,89.92857142857143,10.100000000000001,7,0,0,0,0,0.0,confianza_normal
IXIAMAS,2026,13,23.56330128205128,94.42857142857143,78.2,7,0,0,0,0,0.0,confianza_normal
PALOS BLANCOS,2026,3,27.55193713450292,86.93318713450293,37.2,5,0,0,0,1,20.0,confianza_baja
PALOS BLANCOS,2026,4,26.164286967418548,89.4311802232855,37.9,7,0,0,0,0,0.0,confianza_normal
PALOS BLANCOS,2026,5,26.23505952380952,91.09523809523809,43.3,7,0,0,0,0,0.0,confianza_normal
PALOS BLANCOS,2026,6,26.863082298136646,89.6055900621118,16.1,7,0,0,0,0,0.0,confianza_normal
PALOS BLANCOS,2026,7,26.087321428571432,90.19047619047619,31.200000000000003,7,0,0,0,0,0.0,confianza_normal
PALOS BLANCOS,2026,8,25.996785714285714,90.40476190476191,27.1,7,0,0,0,0,0.0,confianza_normal
PALOS BLANCOS,2026,9,23.734922619047616,95.72380952380952,87.30000000000001,7,2,2,2,0,0.0,confianza_normal
PALOS BLANCOS,2026,10,25.873966295609154,93.48928571428571,0.30000000000000004,7,3,3,3,0,0.0,confianza_normal
PALOS BLANCOS,2026,11,25.631844155844156,95.7,107.73333333333335,7,5,5,5,0,0.0,confianza_normal
PALOS BLANCOS,2026,12,26.91271212121212,92.00140692640693,3.9,7,3,3,3,0,0.0,confianza_normal
PALOS BLANCOS,2026,13,24.999839164237123,95.43114674441206,1.5428571428571431,7,6,6,6,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,3,27.450200501253136,85.33879699248119,23.000000000000004,5,2,2,2,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,4,27.152182159945315,87.25378787878788,0.0,7,3,3,3,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,5,26.380547561134517,90.791139657444,2.7,7,4,4,4,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,6,26.58935559006211,90.04425465838509,0.0,7,0,0,0,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,7,25.79148852813853,92.4571645021645,0.0,7,4,4,4,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,8,27.065480303030306,87.63997835497835,22.6,7,3,3,3,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,9,25.22851515151515,94.33820346320347,0.0,7,3,3,3,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,10,25.987155225726656,93.75,0.0,7,1,1,1,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,11,26.549857142857142,92.54285714285713,0.0,7,3,3,3,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,12,27.15198484848485,90.95627705627706,0.0,7,1,1,1,0,0.0,confianza_normal
SAN BUENAVENTURA,2026,13,25.21792176870748,95.29353741496598,0.0,7,3,3,3,0,0.0,confianza_normal
