departamento,municipio,anio,casos_dengue_acumulados_se1_13,incidencia_por_10000_hab,periodo,fuente,pagina_fuente,nota,estado_calidad,regla_aplicada,motivo_qc,periodo_dato,version_lote
BENI,GUAYARAMERIN,2026,9,2.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
BENI,RIBERALTA,2026,4,0.4,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
BENI,RURRENABAQUE,2026,15,7.1,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
BENI,SAN BORJA,2026,140,30.7,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
BENI,TRINIDAD,2026,12,1.0,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,APOLO,2026,1,0.5,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,CARANAVI,2026,60,10.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,IXIAMAS,2026,15,12.0,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,LA ASUNTA,2026,19,4.2,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,MAPIRI,2026,3,1.4,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
LA PAZ,PALOS BLANCOS,2026,5,1.9,SE 1-13,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Acumulado municipal SE 1-13; no se reconstruyó la semana municipal cuando la posición de celdas vacías del PDF era ambigua.,valido,,,SE 1-13,dengue_bolivia_municipal_SE01_13_2026.csv
