anio,semana_epidemiologica,casos_dengue,fuente,pagina_fuente,nota
2026,1,19,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,2,16,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,3,15,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,4,22,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,5,31,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,6,26,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,7,27,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,8,40,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,9,37,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,10,44,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,11,25,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,12,34,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
2026,13,5,"Ministerio de Salud y Deportes de Bolivia, Boletín Epidemiológico N°13, 2026",8,Total nacional semanal; dato provisional sujeto a actualización.
