municipio,fecha,temperatura_media_c,humedad_relativa_pct,precipitacion_mm,fuente
La Paz,2024-11-10,15.3,73.5,0.4,SENAMHI
La Paz,2025-01-01,15.4,68.1,5.2,SENAMHI
La Paz,2025-04-24,14.9,72.2,3.5,SENAMHI
La Paz,2025-06-27,5.7,57.0,1.0,SENAMHI
La Paz,2025-07-28,46.3,100.0,1.1,SENAMHI
La Paz,2026-03-31,11.9,44.7,0.3,SENAMHI
El Alto,2024-05-01,15.3,74.4,0.6,SENAMHI
El Alto,2024-05-08,8.5,47.8,14.4,SENAMHI
El Alto,2024-07-21,33.0,77.5,1.8,SENAMHI
El Alto,2024-10-06,9.7,55.6,11.5,SENAMHI
El Alto,2024-11-02,44.2,60.5,7.7,SENAMHI
El Alto,2025-01-29,33.3,66.9,0.7,SENAMHI
El Alto,2025-05-12,47.1,41.6,0.2,SENAMHI
El Alto,2025-08-10,8.3,83.5,0.3,SENAMHI
El Alto,2025-08-23,12.9,85.4,12.5,SENAMHI
El Alto,2025-09-15,8.5,62.8,2.1,SENAMHI
El Alto,2026-01-22,32.8,78.7,3.1,SENAMHI
El Alto,2026-04-09,7.3,83.4,0.8,SENAMHI
El Alto,2026-05-28,46.0,78.5,7.8,SENAMHI
El Alto,2026-08-20,14.7,70.6,1.7,SENAMHI
El Alto,2026-08-23,34.1,78.1,14.6,SENAMHI
Coroico,2024-04-04,15.2,56.3,3.3,SENAMHI
Coroico,2024-06-04,44.8,67.3,2.0,SENAMHI
Coroico,2024-07-03,46.7,24.9,3.9,SENAMHI
Coroico,2024-09-29,38.7,67.0,0.6,SENAMHI
Coroico,2024-11-07,43.9,83.6,0.5,SENAMHI
Coroico,2025-03-26,43.1,79.1,25.3,SENAMHI
Coroico,2025-08-04,32.5,86.3,1.2,SENAMHI
Coroico,2025-08-07,40.8,58.1,2.0,SENAMHI
Coroico,2025-10-14,15.2,89.3,5.6,SENAMHI
Coroico,2025-11-29,11.1,79.3,6.7,SENAMHI
Coroico,2026-08-01,14.7,73.2,0.3,SENAMHI
Caranavi,2024-05-30,43.0,72.2,2.1,SENAMHI
Caranavi,2024-07-02,33.3,70.3,7.2,SENAMHI
Caranavi,2024-07-11,11.8,56.6,3.6,SENAMHI
Caranavi,2025-11-24,40.0,88.6,1.8,SENAMHI
Caranavi,2026-01-22,41.8,54.3,4.0,SENAMHI
Caranavi,2026-01-23,14.6,82.0,4.5,SENAMHI
Caranavi,2026-07-12,14.0,77.1,2.4,SENAMHI
Caranavi,2026-07-26,43.4,85.9,3.3,SENAMHI
Rurrenabaque,2024-05-20,13.7,76.8,4.7,SENAMHI
Rurrenabaque,2024-06-13,14.5,76.0,1.1,SENAMHI
Rurrenabaque,2024-07-04,34.0,55.4,13.1,SENAMHI
Rurrenabaque,2025-01-20,45.9,55.7,10.3,SENAMHI
Rurrenabaque,2025-02-03,14.0,85.4,1.7,SENAMHI
Rurrenabaque,2025-03-23,32.5,64.4,2.1,SENAMHI
Rurrenabaque,2025-04-13,41.7,60.9,22.2,SENAMHI
Rurrenabaque,2025-05-13,32.5,76.7,0.6,SENAMHI
Rurrenabaque,2025-06-21,36.4,60.1,0.2,SENAMHI
Rurrenabaque,2026-03-24,43.5,79.3,9.1,SENAMHI
Rurrenabaque,2026-05-27,34.2,66.3,4.8,SENAMHI
Palos Blancos,2024-07-21,34.8,84.4,1.8,SENAMHI
Palos Blancos,2025-01-01,14.1,83.9,0.3,SENAMHI
Palos Blancos,2025-01-05,40.5,61.8,1.1,SENAMHI
Palos Blancos,2025-01-06,42.1,67.9,0.4,SENAMHI
Palos Blancos,2025-04-09,40.5,76.9,4.7,SENAMHI
Palos Blancos,2025-07-24,40.2,80.0,0.2,SENAMHI
Palos Blancos,2026-03-15,6.4,69.4,12.5,SENAMHI
Palos Blancos,2026-03-18,9.3,85.7,13.5,SENAMHI
Palos Blancos,2026-08-24,6.9,51.1,4.1,SENAMHI
Palos Blancos,2026-08-31,5.9,75.8,0.5,SENAMHI
Guanay,2024-12-03,32.7,55.5,2.2,SENAMHI
Guanay,2025-05-13,15.0,59.4,0.9,SENAMHI
Guanay,2025-12-08,13.8,90.4,1.8,SENAMHI
Guanay,2026-07-21,40.8,60.2,9.4,SENAMHI
Apolo,2024-02-03,9.6,92.2,0.3,SENAMHI
Apolo,2024-03-05,40.9,81.1,0.4,SENAMHI
Apolo,2024-07-12,44.5,100.0,1.4,SENAMHI
Apolo,2024-07-23,34.1,57.1,6.5,SENAMHI
Apolo,2025-04-28,6.3,64.3,5.5,SENAMHI
Apolo,2025-07-02,11.0,80.7,1.0,SENAMHI
Apolo,2025-11-14,41.6,87.9,6.7,SENAMHI
Apolo,2026-03-17,45.3,72.4,20.9,SENAMHI
Apolo,2026-03-31,42.9,46.9,1.1,SENAMHI
Apolo,2026-07-29,45.7,67.7,3.6,SENAMHI
Ixiamas,2024-02-04,8.6,64.3,0.3,SENAMHI
Ixiamas,2024-07-14,9.6,57.8,4.7,SENAMHI
Ixiamas,2024-08-06,32.7,75.3,3.5,SENAMHI
Ixiamas,2025-06-22,9.7,66.3,2.3,SENAMHI
Ixiamas,2025-11-21,15.3,59.3,2.7,SENAMHI
Ixiamas,2026-05-19,38.3,54.2,7.6,SENAMHI
Ixiamas,2026-06-05,10.9,75.0,0.4,SENAMHI
Ixiamas,2026-07-23,12.1,57.5,2.0,SENAMHI
Ixiamas,2026-08-05,15.0,62.6,21.7,SENAMHI
San Buenaventura,2024-04-22,13.4,56.5,3.7,SENAMHI
San Buenaventura,2024-05-14,32.9,56.7,0.2,SENAMHI
San Buenaventura,2024-07-27,7.2,66.0,2.5,SENAMHI
San Buenaventura,2024-10-20,33.1,63.8,0.2,SENAMHI
San Buenaventura,2024-12-30,15.3,53.9,11.0,SENAMHI
San Buenaventura,2025-09-03,41.9,65.3,0.8,SENAMHI
San Buenaventura,2025-10-29,33.0,66.0,5.6,SENAMHI
San Buenaventura,2026-03-21,14.9,62.6,6.0,SENAMHI
San Buenaventura,2026-06-11,45.9,85.9,0.2,SENAMHI
San Buenaventura,2026-07-29,10.6,85.3,3.0,SENAMHI
