,municipio,fecha,temperatura_media_c,humedad_relativa_pct,precipitacion_mm,fuente
count,8593,8593,8593.0,8593.0,8593.0,8593
unique,10,,,,,1
top,Rurrenabaque,,,,,SENAMHI
freq,955,,,,,8593
mean,,2025-05-01 18:19:48.967764,24.041417432794134,69.88062376352846,3.927638775747701,
min,,2024-01-01 00:00:00,5.7,16.4,0.0,
25%,,2024-09-01 00:00:00,21.9,61.7,1.1,
50%,,2025-05-02 00:00:00,24.0,69.9,2.7,
75%,,2025-12-30 00:00:00,26.1,78.0,5.4,
max,,2026-08-31 00:00:00,47.1,100.0,34.3,
std,,,3.298250014515001,11.863651020350417,3.945422969190338,
