municipio,variable,registros,fecha_inicio,fecha_fin
GUAYARAMERIN,air_temperature,1771,2026-01-14 14:00:00+00:00,2026-04-04 13:00:00+00:00
GUAYARAMERIN,relative_humidity,1771,2026-01-14 14:00:00+00:00,2026-04-04 13:00:00+00:00
GUAYARAMERIN,total_precipitation_or_total_water_equivalent,1771,2026-01-14 14:00:00+00:00,2026-04-04 13:00:00+00:00
IXIAMAS,air_temperature,1764,2026-01-14 14:00:00+00:00,2026-04-04 13:00:00+00:00
IXIAMAS,relative_humidity,1764,2026-01-14 14:00:00+00:00,2026-04-04 13:00:00+00:00
IXIAMAS,total_precipitation_or_total_water_equivalent,1764,2026-01-14 14:00:00+00:00,2026-04-04 13:00:00+00:00
PALOS BLANCOS,air_temperature,1250,2026-01-15 09:00:00+00:00,2026-04-03 08:00:00+00:00
PALOS BLANCOS,relative_humidity,1251,2026-01-15 09:00:00+00:00,2026-04-03 08:00:00+00:00
PALOS BLANCOS,total_precipitation_or_total_water_equivalent,1251,2026-01-15 09:00:00+00:00,2026-04-03 08:00:00+00:00
SAN BUENAVENTURA,air_temperature,807,2026-01-16 10:00:00+00:00,2026-04-04 13:00:00+00:00
SAN BUENAVENTURA,relative_humidity,807,2026-01-16 10:00:00+00:00,2026-04-04 13:00:00+00:00
SAN BUENAVENTURA,total_precipitation_or_total_water_equivalent,807,2026-01-16 10:00:00+00:00,2026-04-04 13:00:00+00:00
