municipio,semana_epidemiologica,dias_con_temperatura,dias_con_humedad,dias_con_precipitacion,cobertura_suficiente
GUAYARAMERIN,3,5,5,5,True
GUAYARAMERIN,4,7,7,7,True
GUAYARAMERIN,5,7,7,7,True
GUAYARAMERIN,6,7,7,7,True
GUAYARAMERIN,7,7,7,7,True
GUAYARAMERIN,8,7,7,7,True
GUAYARAMERIN,9,7,7,7,True
GUAYARAMERIN,10,7,7,7,True
GUAYARAMERIN,11,6,6,6,True
GUAYARAMERIN,12,7,7,7,True
GUAYARAMERIN,13,7,7,7,True
IXIAMAS,3,5,5,5,True
IXIAMAS,4,7,7,7,True
IXIAMAS,5,7,7,7,True
IXIAMAS,6,7,7,7,True
IXIAMAS,7,7,7,7,True
IXIAMAS,8,7,7,7,True
IXIAMAS,9,7,7,7,True
IXIAMAS,10,7,7,7,True
IXIAMAS,11,6,6,6,True
IXIAMAS,12,7,7,7,True
IXIAMAS,13,7,7,7,True
PALOS BLANCOS,3,4,4,4,False
PALOS BLANCOS,4,7,7,7,True
PALOS BLANCOS,5,7,7,7,True
PALOS BLANCOS,6,7,7,7,True
PALOS BLANCOS,7,7,7,7,True
PALOS BLANCOS,8,7,7,7,True
PALOS BLANCOS,9,5,5,5,True
PALOS BLANCOS,10,4,4,4,False
PALOS BLANCOS,11,2,2,2,False
PALOS BLANCOS,12,4,4,4,False
PALOS BLANCOS,13,1,1,1,False
SAN BUENAVENTURA,3,3,3,3,False
SAN BUENAVENTURA,4,4,4,4,False
SAN BUENAVENTURA,5,3,3,3,False
SAN BUENAVENTURA,6,7,7,7,True
SAN BUENAVENTURA,7,3,3,3,False
SAN BUENAVENTURA,8,4,4,4,False
SAN BUENAVENTURA,9,4,4,4,False
SAN BUENAVENTURA,10,6,6,6,True
SAN BUENAVENTURA,11,4,4,4,False
SAN BUENAVENTURA,12,6,6,6,True
SAN BUENAVENTURA,13,4,4,4,False
