municipio,variable,count,mean,median,std,min,max
GUAYARAMERIN,air_temperature,1771,26.45455110107284,25.16,3.0952961686763083,22.01,35.13
GUAYARAMERIN,relative_humidity,1771,92.4223602484472,100.0,11.44587050923675,55.0,100.0
GUAYARAMERIN,total_precipitation_or_total_water_equivalent,1771,6.767363071710898,1.0,10.733533534615987,0.0,56.2
IXIAMAS,air_temperature,1764,24.878650793650795,23.735,3.1942646586535233,19.7,33.67
IXIAMAS,relative_humidity,1764,89.23809523809524,97.0,13.110075448892971,48.0,99.0
IXIAMAS,total_precipitation_or_total_water_equivalent,1764,10.429024943310656,0.5,21.018889944515646,0.0,102.9
PALOS BLANCOS,air_temperature,1250,26.15188,24.515,4.175024801276396,19.45,39.15
PALOS BLANCOS,relative_humidity,1251,90.74420463629097,100.0,13.671697640998733,42.0,100.0
PALOS BLANCOS,total_precipitation_or_total_water_equivalent,1251,5.450039968025579,0.3,12.692795673073809,0.0,86.5
SAN BUENAVENTURA,air_temperature,807,26.701313506815364,25.28,3.3273615296486914,20.86,37.15
SAN BUENAVENTURA,relative_humidity,807,90.81040892193309,99.0,12.202082184367722,49.0,100.0
SAN BUENAVENTURA,total_precipitation_or_total_water_equivalent,807,41.5732342007435,0.0,236.10581800877208,0.0,1389.4
